StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,RP1a,RP1a_9_TEXT,RP1b_1,RP1b_2,RP1b_3,RP1b_4,RP1b_5,RP1b_6,RP1b_7,RP1b_8,RP1c,RP1d,RP1e,Q2a,Q2a_7_TEXT,Q2b,Q2c_1,Q2c_2,Q2c_3,Q2c_4,Q2c_5,Q2c_6,Q2d,Q2e,Q3a,Q3b,Q3c,Q3c_11_TEXT,Q3d,Q3d_11_TEXT,Q3e,Q3e_9_TEXT,Q4a,Q4b,Q4c,Q4d,Q4e,Q5a,Q5b,Q5c,Q5d,Q5e
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Gender,Are you above 21?,Age,"How often do you visit a bar, taproom, or brewery?","Which of the following best describes your current location relative to the nearest bar, taproom, or brewery?",Rate how much you agree that the below characteristics describe your personality and lifestyle. - You are a social person,Rate how much you agree that the below characteristics describe your personality and lifestyle. - You live an active lifestyle,Rate how much you agree that the below characteristics describe your personality and lifestyle. - Alcoholic drink quality is important to you,Rate how much you agree that the below characteristics describe your personality and lifestyle. - You like finding new things to do,"Thinking of bars or taprooms that you like to visit regularly, which of the below attributes are features of that establishment? (Select all that apply.) - Selected Choice","Thinking of bars or taprooms that you like to visit regularly, which of the below attributes are features of that establishment? (Select all that apply.) - Other - Text","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Drink selection","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Price","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Location","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Casual conversations with employees","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Social interactions with other customers","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Ability to do other things aside from drink (ie: card games, karaoke, darts, play pool)","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Networking with other professionals","Rank the below factors in order of importance when deciding whether to leave a bar/taproom early or to stay for the entire night, with 1 being most important and 8 being least important. - Earning loyalty rewards with your purchases at the taproom",What would make you hesitant to try a new taproom for the first time? (Select all that apply.),Which factors would make it easier for you to interact with others at a taproom? (Select all that apply.),"Imagine your ideal taproom experience, which of the below features are reasons that would cause you to look forward to returning to that place in the future? (Select all that apply.)",What is your primary reason for visiting a brewery? - Selected Choice,What is your primary reason for visiting a brewery? - Other (please specify): - Text,"When visiting a brewery, how important is it for the experience to be consistent each time you go?",Please rate how likely each experience is in encouraging you to revisit a brewery? - Themed events,Please rate how likely each experience is in encouraging you to revisit a brewery? - Social activities,Please rate how likely each experience is in encouraging you to revisit a brewery? - Community-focused events,Please rate how likely each experience is in encouraging you to revisit a brewery? - Interactive experiences such as tastings and hands on workshops,Please rate how likely each experience is in encouraging you to revisit a brewery? - Unique events that can’t be found elsewhere,"Please rate how likely each experience is in encouraging you to revisit a brewery? - A consistent, welcoming environment",Would you be more likely to attend brewery events that highlight local culture and community involvement?,What’s one thing a brewery could do to ensure you return more often?,Would you be interested in attending live music events held at a brewery?,How would you rate your experience at live music events held at a brewery?,Which elements of a live music event at a brewery attract you the most? (Select all that apply.) - Selected Choice,Which elements of a live music event at a brewery attract you the most? (Select all that apply.) - Other (please specify) - Text,Which factors have negatively impacted your experience at a live music event at a brewery? (Select all that apply.) - Selected Choice,Which factors have negatively impacted your experience at a live music event at a brewery? (Select all that apply.) - Other (please specify) - Text,What are the primary reasons that prevent you from attending a live music event at a brewery? (Select all that apply.) - Selected Choice,What are the primary reasons that prevent you from attending a live music event at a brewery? (Select all that apply.) - Other (please specify) - Text,How important is snack availability to the taproom experience in your opinion?,How often do you typically order snacks when visiting a brewery or taproom?,Does snack availability incentivize you to stay longer at a taproom or brewery?,What type of snack would you like to see available at a taproom? (Select all that apply),"If a taproom offered recommendations for drink and snack pairings, would you be interested in trying it out?","Have you ever consulted a language model (e.g., ChatGPT, Claude, Perplexity) for local dining or brewery recommendations?","How much do you trust a recommendation generated by AI  (e.g., ChatGPT, Claude, Perplexity)?","Would you be interested in using a custom AI assistant specifically trained on a local craft brewery's or restaurants selection, events, and local information?","If you have used AI for brewery or restaurant recommendations, how satisfied were you with the results? (Skip this question if you have never used AI for brewery or restaurant recommendations)","If a local craft brewery or restaurant developed a custom AI assistant, what features would you find most valuable?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID40""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID22""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_9_TEXT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID30_7""}","{""ImportId"":""QID30_8""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_11_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_11_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_9_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID28""}","{""ImportId"":""QID42""}","{""ImportId"":""QID37""}","{""ImportId"":""QID43""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID44""}","{""ImportId"":""QID24_TEXT""}"
2025-02-22 17:17:49,2025-02-22 17:17:59,Survey Preview,,100,9,True,2025-02-22 17:18:00,R_5fws1vuGryjs9XP,,,,,42.2783,-71.1593,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-22 17:18:05,2025-02-22 17:18:14,Survey Preview,,100,9,True,2025-02-22 17:18:15,R_5z9iaCAnjx2nwv7,,,,,42.2783,-71.1593,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes; I have attended before,Good,,,,,,,,,,,,,,,,
2025-02-22 17:19:11,2025-02-22 17:19:40,Survey Preview,,100,29,True,2025-02-22 17:19:41,R_520HeZ9vtaPKRz3,,,,,42.2783,-71.1593,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances",,,,,,,,,,,,,,,
2025-02-24 10:08:29,2025-02-24 10:09:14,Survey Preview,,100,45,True,2025-02-24 10:09:15,R_1xsznFCcslwLSbD,,,,,42.3427,-71.0922,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 20:22:28,2025-04-11 20:25:00,IP Address,155.33.128.12,100,152,True,2025-04-11 20:25:00,R_5jUnEYa7tkYtCsp,,,,,42.3427,-71.0922,anonymous,EN,Male,Yes,39,At least once a month,More than 30 minutes away,Slightly Agree,Slightly Disagree,Neither agree nor disagree,Strongly Agree,"Darts,Easy to socialize with other customers,Loyalty program (e.g., personalized rewards, discounts, etc.)",,1,3,6,7,5,2,4,8,Poor customer service,Joining a game,Variety of food options,To meet new people,,Somewhat important – I like a balance of new and familiar elements,Somewhat unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,Neither likely nor unlikely,"Maybe, if the event aligns with my interests",Customer service,"Yes, I haven’t attended yet but I’m interested.",,"High quality of drinks,Social experience and opportunity to meet new people",,,,,,Slightly important,Sometimes,Neutral,"Sweets (e.g., candies, cookies, chocolate)",Maybe,Yes,A great deal,Extremely interested,Very satisfied,Understanding the menu and how beer is brewed.
2025-04-11 20:31:29,2025-04-11 20:31:49,IP Address,73.68.54.51,100,19,True,2025-04-11 20:31:50,R_5zCOLdoCZaiS0Nv,,,,,42.3427,-71.0922,anonymous,EN,Male,Yes,28,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 20:28:18,2025-04-11 20:38:45,IP Address,73.242.77.49,100,627,True,2025-04-11 20:38:46,R_3EdkduTmS7HWo0q,,,,,45.0702,-93.4556,anonymous,EN,Female,Yes,68,At least once a month,More than 30 minutes away,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Friendly staff,Easy to socialize with other customers,Easy to network with other professionals,Other",I visit food malls that have tap walls.,6,4,5,1,2,3,7,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service,No food","Being introduced by someone else,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Easy to socialize with others,Variety of food options",To meet new people,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,"Yes, I value community-focused experiences",Getting to know the owners and chefs who are part of that community.,"No, I’m not interested.",,,,,,Other (please specify),I go to meet peole and interact with family. It's not about music for me.,Moderately Important,Everytime,Unlikely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,No,A lot,Extremely interested,,"I go with my family and to be social, not drink beer, so an AI assistant could help non drinkers navigate the experience."
2025-04-11 20:40:38,2025-04-11 20:46:25,IP Address,73.238.209.91,100,346,True,2025-04-11 20:46:25,R_3fehaBo1fr0fNLp,,,,,42.3388,-71.0726,anonymous,EN,Female,Yes,22,At least once a month,Less than 10 minutes away,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,"Pool table,Friendly staff",,1,2,3,5,4,6,7,8,"Not having someone to go with,No food","Being introduced by someone else,Joining a game","Variety of food options,Happy hour specials",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,"Yes, I value community-focused experiences",,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,Convenience of location",,,,,,Very Important,Most of the time,Likely,"Cold Bites (e.g., cheese, cured meats)",Yes,Yes,A lot,Very interested,Somewhat satisfied,
