Gender,Above 21,Age,Visit Frequency,Location,Trait: Social person,Trait: Active lifestyle,Trait: Drink quality important,Trait: Like finding new things,Taproom Features,Rank: Drink selection,Rank: Ability to do other things aside from drink,Rank: Social interactions with other customers,Rank: Casual conversations with employees,Rank: Networking with other professionals,Rank: Price,Rank: Earning loyalty rewards,Rank: Location,Hesitations,Interaction Factors,Ideal Features,Primary Reason,Consistency Importance,Experience: Themed events,Experience: Social activities,Experience: Community events,Experience: Interactive experiences,Experience: Unique events,Experience: Consistent environment,Community Focus,Return Factor,Live Music Interest,Positive Music Elements,Snack Importance,Snack Order Frequency,Snack Stay Longer,Snack Type Preference,Pairing Interest,AI Consultation,AI Trust,AI Assistant Interest,AI Valuable Features,Segment,Live Music Rating,AI Satisfaction,Preventing Reasons,Negative Music Factors
Female,Yes,26,At least once a month,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,6,7,8,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program']","['Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,4,3,4,5,1,"Yes, I value community-focused experiences",Provide comfortable seating and atmosphere,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'Quality of live music performances', 'Convenience of location']",Extremely Important,Most of the time,Likely,"['Sweets', 'Cold Bites', 'Pre-packaged Snacks', 'Warm-prepared Snacks']",No,No,Not at all,Very interested,Personalized beer recommendations based on my taste preferences,Young Professionals,,,,
Female,Yes,39,At least once a year,Between 10 and 30 minutes,3,3,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,7,6,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'No rewards program']","['Good music playing', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To socialize with friends/family,Important – I prefer a familiar experience,4,3,2,3,4,1,"No, I attend for other reasons",Provide comfortable seating and atmosphere,Yes; I have attended before,"['Variety of performers', 'Social experience and opportunity to meet new people', 'Variety of performers']",Moderately Important,Rarely,Likely,"['Cold Bites', 'Sweets', 'Pre-packaged Snacks', 'Warm-prepared Snacks']",Yes,No,Not at all,Extremely interested,Personalized beer recommendations based on my taste preferences,Affluent Locals,Excellent,,,
Female,Yes,56,At least once a month,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Friendly staff', 'Easy to socialize with other customers']",1,3,2,4,6,5,7,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,3,3,3,4,4,1,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Social experience and opportunity to meet new people', 'Social experience and opportunity to meet new people', 'Special promotions or discounts during the event']",Moderately Important,Never,Neutral,"['Cold Bites', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,No,A moderate amount,Moderately interested,Answers to questions about brewing processes and ingredients,Affluent Locals,,,,
Male,Yes,36,At least once a week,Between 10 and 30 minutes,3,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,7,6,8,"['Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Games available', 'Outdoor seating', 'Live music']",To attend special events,Somewhat important – I like a balance of new and familiar elements,3,4,3,4,4,2,"No, I attend for other reasons",Offer loyalty rewards for frequent customers,"Yes, I haven't attended yet but I'm interested.","['Social experience and opportunity to meet new people', 'High quality of drinks', 'Special promotions or discounts during the event']",Moderately Important,Sometimes,Neutral,"['Warm-prepared Snacks', 'Sweets', 'Pre-packaged Snacks']",No,No,A moderate amount,Moderately interested,History and background of the brewery,Affluent Locals,,,,
Female,Yes,67,At least once a month,Less than 10 minutes away,3,3,3,3,"['Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,2,4,3,7,8,5,6,"['Not having someone to go with', 'No rewards program', 'No food']","['Being introduced by someone else', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials']",To enjoy a familiar and consistent experience,Important – I prefer a familiar experience,3,2,3,3,3,2,"Yes, I value community-focused experiences",Extend happy hour specials,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'High quality of food', 'Special promotions or discounts during the event', 'Social experience and opportunity to meet new people', 'Quality of live music performances']",Very Important,Everytime,Neutral,"['Warm-prepared Snacks', 'Sweets', 'Cold Bites', 'Pre-packaged Snacks']",Maybe,No,A lot,Slightly interested,Answers to questions about brewing processes and ingredients,Retirees,,,,
Male,Yes,27,At least once a month,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Friendly staff', 'Loyalty program']",1,3,2,5,4,7,6,8,"['Difficult to talk to others in the taproom', 'No rewards program']","['Good music playing', 'Joining a game', 'Friendliness of staff']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,3,2,4,4,1,"Yes, I value community-focused experiences",Extend happy hour specials,"Yes, I haven't attended yet but I'm interested.","['High quality of drinks', 'Atmosphere and venue ambiance', 'Quality of live music performances']",Extremely Important,Sometimes,Unlikely,"['Pre-packaged Snacks', 'Cold Bites', 'Warm-prepared Snacks', 'Sweets']",Maybe,No,Not at all,Slightly interested,Updates on specials or happy hours,Young Professionals,,,,
Male,Yes,48,At least once a month,More than 30 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Loyalty program']",1,3,4,2,7,5,8,6,"['No music', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To attend special events,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Convenience of timing', 'Variety of performers', 'High quality of food', 'High quality of drinks', 'Social experience and opportunity to meet new people']",Very Important,Never,Unlikely,"['Pre-packaged Snacks', 'Sweets', 'Warm-prepared Snacks']",No,Yes,A lot,Very interested,Answers to questions about brewing processes and ingredients,Summer Tourists,,Very satisfied,,
Female,Yes,85,At least once a month,More than 30 minutes away,3,3,3,3,"['Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,3,4,2,7,6,8,5,"['Poor customer service', 'No rewards program', 'No food']",['Being introduced by someone else'],"['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,3,2,4,3,3,2,"Yes, I value community-focused experiences",Offer a wider selection of craft beers,"Yes, I haven't attended yet but I'm interested.","['Special promotions or discounts during the event', 'Special promotions or discounts during the event', 'High quality of drinks']",Moderately Important,Sometimes,Likely,"['Cold Bites', 'Warm-prepared Snacks']",Maybe,No,Not at all,Slightly interested,Information about upcoming events and special releases,Retirees,,,,
Male,Yes,36,At least once a year,More than 30 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,2,3,4,6,5,8,7,"['Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Outdoor seating', 'Live music']",To socialize with friends/family,Important – I prefer a familiar experience,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'High quality of drinks', 'Social experience and opportunity to meet new people', 'High quality of food']",Moderately Important,Most of the time,Very Likely,"['Warm-prepared Snacks', 'Sweets', 'Cold Bites']",Yes,No,A lot,Moderately interested,Updates on specials or happy hours,Summer Tourists,,,,
Male,Yes,61,At least once a week,More than 30 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,3,2,4,5,6,7,8,"['Poor customer service', 'No rewards program']","['Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,4,3,4,4,2,"Yes, I value community-focused experiences",Provide comfortable seating and atmosphere,"No, I'm not interested.",,Very Important,Most of the time,Likely,"['Pre-packaged Snacks', 'Sweets', 'Warm-prepared Snacks', 'Cold Bites']",No,No,A lot,Moderately interested,Updates on specials or happy hours,Summer Tourists,,,"['Poor past experiences with similar events', 'Scheduling conflicts', 'Limited transportation']",
